Unnamed: 0,mmr0,mmr1,mmr2,mmr3,mmr4,mmr5,mmr6,mmr7,mmr8,mmr9,mmr10,mmr11,mmr12,mmr13,mmr14,mmr15,mmr16,mmr17,mmr18,mmr19,mmr20,mmr21,mmr22,mmr23,mmr24,mmr25,mmr26,mmr27,mmr28,mmr29,mmr30,mmr31,mmr32,mmr33,mmr34,mmr35,mmr36,mmr37,mmr38,mmr39,mmr40,mmr41,mmr42,mmr43,mmr44,mmr45,mmr46,mmr47,mmr48,mmr49,mmr50,mmr51,mmr52,mmr53,mmr54,mmr55,mmr56,mmr57,mmr58,mmr59,mmr60,mmr61,mmr62,mmr63,mmr64,mmr65,mmr66,mmr67,mmr68,mmr69,mmr70,mmr71,mmr72,mmr73,mmr74,mmr75,mmr76,mmr77,mmr78,mmr79,mmr80,mmr81,mmr82,mmr83,mmr84,mmr85,mmr86,mmr87,mmr88,mmr89,mmr90,mmr91,mmr92,mmr93,mmr94,mmr95,mmr96,mmr97,mmr98,mmr99,mmr100,mmr101,mmr102,mmr103,mmr104,mmr105,mmr106,mmr107,mmr108,mmr109,mmr110,mmr111,mmr112,mmr113,mmr114,mmr115,mmr116,mmr117,mmr118,mmr119,mmr120,mmr121,mmr122,mmr123,mmr124,mmr125,mmr126,mmr127,mmr128,mmr129,mmr130,mmr131,mmr132,mmr133,mmr134,mmr135,mmr136,mmr137,mmr138,mmr139,mmr140,mmr141,mmr142,mmr143,mmr144,mmr145,mmr146,mmr147,mmr148,mmr149,mmr150
0,17838.1,19459.1,18100.9,17929.9,17834.2,0.0,18317.4,19224.4,0.0,17822.6,18031.9,20197.4,18158.9,18189.5,17976.5,18251.5,18331.6,18214.6,17984.9,18440.7,18083.1,18234.4,18506.6,18759.6,18411.6,18640.1,0.0,18617.0,19359.5,19066.3,18574.9,22772.6,18415.4,0.0,20670.8,22708.4,21060.0,20920.4,20504.4,19025.5,20081.6,18882.5,0.0,19179.4,18891.6,20262.2,0.0,18966.6,25516.6,19161.4,0.0,0.0,19224.4,18353.2,19876.8,21235.4,18935.3,21671.6,20530.2,18752.0,0.0,21054.7,20357.2,0.0,0.0,18232.7,21456.7,18778.2,18514.7,19962.9,0.0,0.0,19017.2,0.0,19159.0,20012.6,0.0,18659.3,18220.8,19865.2,0.0,19087.0,19738.1,18804.7,18239.3,18200.7,18130.7,18403.3,21353.3,0.0,18337.5,19523.5,20923.0,20834.4,0.0,20678.6,20758.9,19060.6,0.0,20114.9,0.0,19093.5,18400.8,20679.8,18760.9,19631.7,21467.5,20469.5,18531.5,0.0,19174.9,0.0,20556.9,19357.6,18238.2,18417.9,20484.2,0.0,18111.2,19122.1,19707.1,0.0,0.0,21231.4,20551.3,21581.2,21285.3,20120.2,18860.8,20015.6,20160.6,18663.6,19009.3,20921.3,18800.7,20187.6,20028.2,19142.8,18544.0,19990.9,19569.0,19216.8,18387.5,18479.7,18439.8,18587.6,18275.3,0.0,18992.1,20057.3,18899.2
1,13912.0,14906.0,14320.3,14181.9,13965.6,16501.3,14388.3,14567.2,16641.6,13977.2,14156.1,15410.0,14376.3,14369.8,14116.8,14290.7,14501.2,14176.0,14013.2,14440.9,14190.4,14373.5,14938.5,14844.8,14439.2,14808.5,16832.4,14891.9,15870.6,14985.0,14523.1,0.0,14522.2,20121.8,16529.1,0.0,0.0,17412.2,15648.9,15051.7,16337.1,14885.3,18713.5,15238.7,14932.8,0.0,18670.4,14864.5,18976.9,15163.5,19092.5,20920.5,15614.7,14340.9,16342.0,16312.7,14872.6,17268.6,0.0,14718.2,19072.4,16270.6,15733.0,19344.2,17858.6,14272.3,0.0,14821.9,14803.7,16140.9,19172.1,0.0,15156.3,16924.9,15254.1,0.0,17621.6,14699.8,14307.9,15886.5,17166.0,15332.9,16131.5,14742.0,14352.6,14314.2,14220.1,14558.4,0.0,19373.9,14445.7,14970.8,15997.2,17275.7,17176.2,0.0,15923.7,15049.7,17417.7,16231.6,18601.3,14988.8,14334.1,15861.4,14747.1,15747.0,16569.0,0.0,14605.3,21638.5,15221.6,17090.7,15555.6,15064.4,14211.2,14419.7,15805.3,17357.0,14142.9,15685.6,15214.4,17970.8,18286.8,16712.3,0.0,16684.8,16437.2,0.0,14846.4,16660.0,0.0,14887.5,15009.7,16156.8,14881.7,15340.4,0.0,14884.6,14553.5,16690.0,15017.7,15399.4,14363.1,14582.0,14513.4,14544.7,14432.1,16884.7,15421.7,0.0,15206.3
2,18997.8,0.0,19442.2,19253.6,19165.5,21793.3,19408.4,0.0,21685.2,19125.3,19427.7,22272.3,19437.6,19608.5,19189.0,19485.5,19568.2,19623.0,19115.6,19600.8,19366.9,19537.6,19851.8,19973.3,19717.8,19967.8,22021.7,19918.2,20480.6,20585.4,19963.8,0.0,19839.7,27017.4,0.0,23392.1,21506.9,22420.8,22607.2,20521.6,21268.8,20086.8,23571.2,20569.4,20259.4,20872.0,0.0,20254.4,0.0,20669.1,24849.3,0.0,20418.3,19679.2,20971.9,23231.9,20258.6,0.0,21166.4,19884.3,26243.4,23257.5,0.0,26472.5,0.0,19381.8,21895.5,20066.3,19801.8,21476.0,26595.6,25012.3,20208.5,22114.7,20314.6,20556.6,22570.0,19981.5,19551.3,21446.5,22472.8,20625.4,20878.6,20019.0,19625.0,19566.8,19336.4,19765.9,22020.3,26802.0,19663.5,0.0,22750.4,22291.8,22689.0,21199.3,22879.0,20502.7,22455.2,21239.9,23291.8,20620.8,19632.8,22781.9,19927.5,20939.1,23596.3,21102.2,20085.6,0.0,20443.6,22481.7,22716.5,20854.8,19650.2,19635.0,22655.0,22428.2,19450.3,20315.3,0.0,22947.0,22941.9,23198.6,21060.7,0.0,23210.5,20725.6,20295.8,20945.0,20786.7,19979.9,20350.6,23065.4,19927.8,0.0,20621.1,20361.8,19786.5,21039.4,0.0,20422.4,19730.4,19864.4,19704.3,19815.1,19682.7,22151.2,20171.2,20695.8,20309.7
3,15671.2,17852.7,15863.4,15792.2,15674.5,18084.0,15966.0,17558.1,18257.7,15630.8,15717.9,0.0,15972.0,16093.8,15800.1,16035.5,16089.4,16117.9,15689.6,16124.5,15845.9,15992.6,16348.1,16554.1,16287.3,16424.7,18585.5,16340.5,16964.3,17199.8,16308.4,20400.9,16212.4,0.0,18986.2,19996.2,18141.7,18973.5,0.0,16776.4,17575.0,16538.7,19795.7,16934.1,16821.1,17245.1,21770.3,16679.0,0.0,16972.8,21450.0,0.0,16773.9,16202.1,17587.9,0.0,16537.8,20506.1,17678.1,16284.8,0.0,0.0,18662.8,0.0,20796.1,16078.3,18355.1,16505.4,16370.5,18116.1,0.0,21582.5,16693.8,18523.0,16702.5,16936.8,19051.4,16450.4,15954.0,18072.1,18844.4,16952.1,17403.2,16430.0,16181.6,15963.5,15947.7,16199.3,18757.0,0.0,16260.7,17819.9,0.0,19046.7,19065.4,17552.7,0.0,16812.3,18913.2,17702.5,19752.0,17201.5,16150.8,0.0,16211.5,17423.1,0.0,17452.0,16456.8,0.0,17032.6,18817.7,0.0,17331.2,16006.0,16231.5,0.0,18807.3,15945.6,16853.7,18012.7,19441.2,19263.3,0.0,17397.5,20273.7,0.0,17259.1,16892.6,17450.8,17264.1,16452.5,16643.1,0.0,16500.5,18313.0,17071.1,16717.1,16227.7,17728.3,17907.8,16953.6,16129.2,16291.4,16332.8,16354.4,16032.2,18522.2,16751.3,17239.2,16728.3
4,11388.9,12377.6,11871.0,11631.3,11465.0,12776.8,11811.0,11903.5,12681.7,11550.1,11652.5,12441.0,12020.3,11883.0,11607.9,11879.3,12042.3,11688.8,11602.6,12127.5,11679.8,12055.0,0.0,12474.2,12054.3,12300.7,12876.9,12666.5,13986.4,12450.4,11975.7,14850.9,11966.6,15871.6,0.0,16365.2,14691.8,0.0,12821.3,12664.6,0.0,12450.9,15174.1,13019.3,12450.3,13473.2,14474.6,12496.8,15719.3,12810.4,15430.3,15597.5,0.0,11963.4,0.0,13449.9,12685.6,15003.9,13864.7,12334.4,14409.5,13458.0,13209.5,14988.0,13520.6,11776.7,15062.9,12427.1,12696.5,13927.0,14705.3,0.0,12969.6,13079.1,13057.0,13259.7,14087.4,12360.8,11687.2,13681.3,13373.3,13174.0,0.0,12627.9,11843.0,11779.8,11745.5,12299.5,14357.1,14666.2,11878.8,12260.5,13280.0,0.0,13373.9,13926.7,13054.6,12681.2,13610.2,14306.3,0.0,12418.4,11953.3,12971.9,12178.0,13626.3,13878.6,13809.1,12161.2,16098.5,12940.9,13377.1,12809.6,12654.2,11762.8,12104.8,12848.0,13667.0,11794.2,0.0,12284.0,14301.7,0.0,0.0,13743.3,14057.4,13864.7,13380.5,12291.4,0.0,13265.1,12642.0,12637.7,13251.7,12693.4,12567.9,13290.7,12564.0,12045.4,0.0,12430.4,13272.4,11852.6,12105.5,12179.0,12052.0,12021.6,13044.8,0.0,13451.5,13031.3
5,10255.6,11299.3,10762.5,10587.5,10395.6,11045.7,10811.6,10649.5,11058.2,10513.0,10602.8,11029.9,11189.4,11041.6,10526.2,10785.8,10940.5,10543.5,10419.6,11107.8,10581.6,11321.4,11366.9,11350.6,10919.8,11704.4,11275.0,0.0,0.0,11043.4,10872.6,12954.7,10808.9,0.0,12502.7,0.0,13210.6,13961.1,11178.6,11587.0,12587.8,11647.1,0.0,11597.5,11250.2,11770.1,12299.9,11475.1,13060.9,12175.7,14053.7,12782.9,11862.6,11225.7,12500.1,12053.3,11236.3,0.0,12130.0,11466.4,12187.0,12089.9,11620.1,13017.4,11619.1,10723.6,13167.5,11427.4,12229.7,0.0,12610.6,14645.2,11920.2,11356.0,0.0,11540.2,0.0,11344.8,10574.1,12709.3,11669.8,0.0,12463.5,11736.0,10708.5,10753.1,10622.5,11576.6,12231.9,12399.1,10833.6,10881.2,12181.3,13285.1,11716.3,12278.7,11641.0,11793.6,12273.3,0.0,13106.1,11023.7,10875.7,11316.0,11248.4,12361.2,12811.3,12281.4,11008.1,12989.8,11500.9,11921.2,11364.6,11138.2,10658.7,11093.2,11493.6,12339.2,10709.1,11983.9,11052.7,12919.3,12521.6,12184.6,12200.4,12066.1,0.0,11593.7,11110.9,0.0,11595.9,0.0,11643.3,11929.3,11896.6,11229.9,11483.9,11723.9,10993.8,0.0,11181.9,0.0,10826.4,10924.2,11463.1,10986.4,11130.7,11341.0,11765.3,11616.4,0.0
6,12075.0,13416.0,12542.1,12405.0,12129.8,13573.1,12465.6,13100.1,13588.2,12304.0,12456.0,14244.6,12550.6,12553.4,12342.1,12639.7,12760.8,12885.8,12286.4,12691.3,12395.9,12607.9,12876.4,13353.0,12822.2,12934.7,13773.5,12824.5,13668.0,0.0,12823.4,15638.3,12657.9,17088.2,14512.2,0.0,14389.5,0.0,14675.2,13270.4,13945.6,13170.6,15226.8,13713.4,13487.1,13531.9,15878.2,13297.6,0.0,13795.8,0.0,19140.4,13298.5,12709.3,14262.8,15080.2,13446.1,0.0,13972.0,12921.0,16518.6,15135.1,14460.4,16815.2,14892.0,12531.3,14948.7,13096.3,13000.4,0.0,16934.1,16123.2,13633.4,13882.6,13313.0,13384.2,14453.1,13041.0,12514.5,0.0,14477.1,13683.9,14064.9,13109.5,12726.9,12426.7,12455.1,12762.3,0.0,16982.7,12718.5,13356.0,14847.9,0.0,14335.9,13803.3,14805.2,13790.4,14248.4,14331.1,14729.2,0.0,12752.0,14648.6,12959.1,14279.5,15375.2,13677.7,13237.9,0.0,13718.6,14105.0,14541.1,0.0,12467.1,12855.4,14691.0,14363.3,12585.6,13291.1,13604.0,14833.9,14583.4,14969.7,13651.6,0.0,14992.4,13475.9,13643.7,13867.7,13305.7,13036.1,13342.7,14962.2,13039.1,13800.8,13179.3,13529.6,12817.7,14157.6,13527.0,13380.3,12601.3,12961.1,12743.4,12897.3,12687.2,13835.0,13147.7,13474.0,13338.2
7,11010.4,11877.3,11408.6,11305.3,11044.4,12091.3,11446.8,11491.3,12092.9,11188.1,11333.3,12226.7,11611.8,11491.3,11182.5,11780.7,11860.3,11399.2,11104.9,11659.4,11297.4,11637.6,11982.0,12425.9,11773.6,11955.0,12368.4,11830.0,12996.9,12297.0,11744.9,13723.7,11600.2,14714.1,13212.7,15331.3,13677.6,14783.8,12449.9,12320.3,13011.5,12101.4,14069.7,0.0,12386.2,12259.6,13933.4,12199.5,0.0,12412.5,15284.5,15196.6,12516.8,11620.5,0.0,13048.3,0.0,14739.2,12799.1,11889.8,13839.8,13528.2,0.0,14329.1,12954.1,11331.4,0.0,12219.2,12193.2,13559.8,14415.0,15193.0,12950.5,12284.1,12281.7,12146.3,13094.2,12010.4,11321.7,13750.0,12824.4,12346.1,0.0,12179.0,11618.3,11504.7,11413.6,11806.3,13633.0,14259.7,11543.2,11807.7,12812.1,15198.0,12900.7,12904.1,12695.8,12457.0,12924.8,13823.1,13700.7,12327.9,11645.9,12525.1,12053.6,0.0,13328.8,12543.2,11840.5,16177.6,0.0,12708.7,12424.0,12621.6,11274.4,11786.2,12439.2,13084.9,11390.1,12401.0,11874.0,13841.0,13335.6,13266.8,12514.8,0.0,13072.8,12261.5,12086.7,13175.8,12193.6,11846.9,12538.7,12917.9,12196.7,12171.8,12025.5,12198.9,11667.7,13574.9,12135.6,12441.6,11450.2,11836.0,11804.4,11833.7,11598.3,12266.5,12232.7,12225.0,12415.1
8,9540.15,0.0,10284.6,9781.52,9601.46,9998.36,10219.9,9751.67,9966.57,9753.85,9782.13,10083.2,0.0,10455.5,9829.9,9906.0,10117.4,9814.51,9688.96,10494.4,9935.08,10954.3,10165.3,10500.3,10105.4,0.0,10314.8,10768.2,0.0,10205.1,10133.5,11947.0,10075.8,12962.5,11101.8,12866.7,0.0,13111.5,10256.6,11222.9,11374.2,0.0,13305.6,10760.6,10564.1,10695.9,11175.1,10899.1,11629.7,0.0,0.0,11395.5,10677.3,10724.4,11176.3,11442.4,10473.4,0.0,11034.2,10994.9,11043.2,11523.4,10685.6,12310.7,10384.8,10049.0,0.0,10755.4,0.0,11878.7,11417.9,12376.3,11596.9,10275.5,11167.0,10345.3,11624.1,10868.7,9835.41,0.0,10596.4,11210.6,11013.9,11536.0,9889.04,10011.2,9909.05,0.0,10814.8,10961.7,10111.5,10084.9,0.0,11789.5,10746.6,11279.5,10736.0,11472.1,0.0,12910.2,11722.6,10214.7,10232.7,10367.7,10471.2,11759.9,0.0,11230.3,10397.6,11363.5,10702.0,11068.5,10521.0,10439.0,9834.35,10456.9,10543.7,11714.2,10026.6,10786.6,10242.7,12588.5,10846.0,10695.6,11206.2,10964.7,11401.6,10419.4,10188.4,11835.6,10322.9,10749.0,11140.0,11301.4,11908.6,10537.1,10264.7,0.0,10383.5,12362.5,10709.0,11564.4,10161.3,10151.8,11233.9,10155.5,10804.8,10472.2,10559.0,10521.0,11210.4
9,9155.49,10118.8,9759.25,9384.83,9274.07,9497.9,10060.1,9360.83,9518.15,9359.09,9408.83,9579.69,10219.1,10770.0,9506.59,9409.53,9593.99,9362.01,9285.72,9982.4,9511.78,0.0,9551.79,9981.5,9779.22,10609.9,9738.03,10141.4,12154.3,9738.03,9784.54,0.0,9637.14,0.0,10518.1,11619.7,11208.8,0.0,9835.68,10897.2,10722.7,10692.5,0.0,10344.4,10133.1,10491.5,10545.8,10862.0,10611.1,11609.2,12790.8,11034.8,10024.4,0.0,10372.2,11376.1,9939.54,11617.4,10822.6,0.0,10501.7,11418.3,10271.8,0.0,9782.63,9830.0,11199.0,10324.2,0.0,11132.3,10952.5,0.0,10732.3,9750.86,10421.7,9790.1,10639.2,10298.3,9395.81,11433.2,10177.7,10650.4,10111.1,0.0,9516.53,9731.15,9590.55,10622.2,10183.8,10353.2,9728.44,9735.47,10797.8,10822.2,10295.2,10697.9,10245.4,0.0,10879.6,11805.8,0.0,9721.55,9742.95,9841.77,10227.4,0.0,11584.7,0.0,10149.3,10529.4,10255.9,0.0,10089.1,9939.66,9464.81,9848.12,10190.9,0.0,9683.6,10396.5,9782.99,0.0,10188.7,9990.52,0.0,10180.2,10481.7,9829.22,9720.81,10624.1,9851.98,9979.25,10932.6,10507.4,0.0,10093.6,9660.78,10454.4,9988.23,11751.1,10026.3,10866.7,9816.63,9762.77,0.0,9781.26,0.0,10021.6,10029.6,10071.6,10434.4
