Unnamed: 0,mmr0,mmr1,mmr2,mmr3,mmr4,mmr5,mmr6,mmr7,mmr8,mmr9,mmr10,mmr11,mmr12,mmr13,mmr14,mmr15,mmr16,mmr17,mmr18,mmr19,mmr20,mmr21,mmr22,mmr23,mmr24,mmr25,mmr26,mmr27,mmr28,mmr29,mmr30,mmr31,mmr32,mmr33,mmr34,mmr35,mmr36,mmr37,mmr38,mmr39,mmr40,mmr41,mmr42,mmr43,mmr44,mmr45,mmr46,mmr47,mmr48,mmr49,mmr50,mmr51,mmr52,mmr53,mmr54,mmr55,mmr56,mmr57,mmr58,mmr59,mmr60,mmr61,mmr62,mmr63,mmr64,mmr65,mmr66,mmr67,mmr68,mmr69,mmr70,mmr71,mmr72,mmr73,mmr74,mmr75,mmr76,mmr77,mmr78,mmr79,mmr80,mmr81,mmr82,mmr83,mmr84,mmr85,mmr86,mmr87,mmr88,mmr89,mmr90,mmr91,mmr92,mmr93,mmr94,mmr95,mmr96,mmr97,mmr98,mmr99
0,17838.1,17892.4,18002.5,17629.1,17842.2,17800.2,17796.5,17846.8,18022.2,17848.2,17667.3,17843.4,17723.9,17913.3,17905.0,17457.4,17662.3,17729.0,17953.0,17726.9,18095.7,17239.2,17662.0,17870.9,17662.5,17675.0,17500.1,17715.3,18035.8,17701.2,17716.1,17763.2,17932.0,17745.6,17704.9,17993.2,17827.0,17865.2,17772.1,17897.4,17672.3,17658.6,17863.3,18010.6,17427.6,17996.9,17991.8,17517.4,18036.6,17390.1,17806.9,17357.0,18017.1,17780.1,17732.8,17837.5,17844.6,17970.6,17940.2,18023.3,17610.1,17223.8,18033.4,17757.9,17962.6,17690.0,17427.2,17695.2,17585.5,17897.7,17868.9,18241.8,17889.9,18045.9,17995.9,18022.0,17297.0,17601.4,17974.1,17798.1,17950.7,17703.7,18041.5,18068.6,17803.6,17618.9,17923.1,17864.8,17782.0,17287.0,17791.2,17887.4,17430.1,17976.3,17673.5,18094.3,17648.4,17953.1,17597.7,17433.2
1,13912.0,13939.1,13990.7,13642.3,13910.4,14106.7,13855.9,13950.5,14120.6,14121.6,13681.4,13796.3,13834.8,13989.2,14022.6,13523.5,13793.5,13886.3,13907.9,13829.0,14150.9,13611.6,13911.9,13790.2,13877.1,13988.3,13719.1,13933.6,14043.0,13666.7,13938.1,13912.8,14095.3,13891.8,13908.9,13992.5,13953.2,13904.8,13871.3,14168.9,13854.1,13837.2,14004.6,14018.2,13544.7,14136.0,13993.2,13731.7,14067.9,13736.5,13922.8,13647.1,13953.4,13821.5,13897.7,14025.2,14022.7,13999.2,13979.4,14106.6,13918.7,13537.6,14040.9,13750.9,14092.0,13939.0,13657.9,13929.4,13812.9,13959.4,14075.9,14077.3,13921.4,14148.2,14090.5,14123.1,13428.8,13829.8,13997.2,13938.9,14154.4,13781.6,14086.4,14134.3,13811.3,13680.4,13861.4,13898.4,13981.7,13551.3,13929.8,14001.8,13728.4,14206.1,13905.9,14178.2,13848.8,14112.7,13794.5,13486.7
2,18997.8,19174.1,19281.0,18950.0,19173.5,19166.1,19118.6,19138.8,19339.1,19209.2,18931.5,19071.4,19101.6,19263.2,19109.7,18556.1,18841.9,18846.8,19181.4,19030.6,19283.6,18549.4,19099.5,19111.9,18847.0,19036.8,18713.0,19081.2,19275.2,18986.9,18736.2,18772.8,19361.8,19054.1,18907.7,19199.1,19236.0,18939.5,19205.4,19235.9,19001.1,19102.3,19189.1,19404.1,18618.6,19167.6,19212.5,18730.1,19226.4,18842.6,19154.3,18745.7,19192.9,19036.4,18992.0,19063.5,19292.4,19254.8,19137.2,19326.6,18673.8,18418.4,19227.9,19128.7,19280.9,18744.7,18445.0,18650.7,18835.4,19120.8,19088.3,19467.7,19245.6,19391.7,19316.9,19427.1,18653.6,18772.7,19173.1,19031.9,19385.5,18839.7,19307.0,19297.7,19137.7,18540.5,19033.7,19103.8,19158.8,18615.4,19029.6,19215.6,18900.4,19204.5,18936.3,19399.6,19043.1,19274.1,18854.1,18755.4
3,15671.2,15705.4,15713.6,15534.6,15664.4,15671.7,15675.5,15604.7,15857.1,15599.3,15475.7,15528.8,15557.4,15726.6,15702.5,15344.0,15426.1,15536.6,15714.8,15571.9,15839.1,15209.5,15632.7,15712.1,15314.7,15632.3,15352.9,15478.6,15664.0,15586.4,15624.3,15641.4,15704.7,15716.7,15268.8,15708.6,15687.5,15600.4,15606.8,15673.8,15593.3,15602.0,15586.5,15655.2,15161.1,15631.8,15804.2,15164.3,15701.0,15449.2,15728.7,15380.2,15568.9,15571.2,15551.5,15499.7,15679.5,15831.9,15642.0,15747.2,15540.2,15114.1,15691.6,15689.1,15715.8,15526.8,15038.1,15472.7,15309.1,15662.9,15634.2,15916.0,15509.2,15879.4,15940.6,15802.6,15145.3,15540.0,15778.4,15546.8,15906.5,15525.1,15788.9,15893.6,15638.1,15349.8,15573.4,15648.9,15662.6,15147.3,15616.9,15580.2,15523.7,15743.1,15375.6,15899.3,15444.6,15865.5,15273.0,15107.6
4,11388.9,11432.1,11339.0,11371.0,11438.3,11521.1,11298.6,11584.1,11527.7,11507.0,11276.9,11402.1,11261.0,11447.6,11534.0,11284.7,11284.2,11388.2,11425.2,11552.4,11597.1,11231.8,11518.5,11474.3,11345.5,11381.9,11412.0,11356.5,11511.4,11366.3,11476.6,11483.8,11616.2,11455.8,11399.0,11583.5,11498.3,11424.8,11415.8,11444.2,11271.6,11440.1,11466.3,11583.5,11255.7,11611.8,11563.2,11205.4,11506.2,11429.9,11374.7,11262.9,11509.7,11360.0,11476.1,11402.6,11525.8,11480.9,11466.6,11666.6,11465.0,11100.2,11526.1,11431.0,11576.7,11463.2,11182.2,11266.4,11373.3,11445.5,11443.4,11720.6,11424.9,11589.2,11548.9,11645.9,11167.1,11238.4,11443.4,11488.1,11415.5,11444.9,11675.4,11629.2,11328.1,11153.9,11471.0,11356.9,11472.6,11301.7,11403.3,11442.8,11416.3,11585.6,11322.2,11612.9,11321.2,11539.7,11253.1,11182.0
5,10255.6,10270.1,10352.7,10239.5,10353.8,10441.4,10241.1,10343.4,10471.5,10379.2,10061.3,10263.9,10298.5,10266.3,10478.4,10187.7,10241.6,10334.0,10355.2,10280.7,10459.7,10241.1,10421.5,10323.7,10264.6,10294.2,10216.1,10354.4,10383.8,10355.3,10344.9,10276.8,10482.6,10329.5,10354.7,10393.7,10433.3,10336.1,10373.3,10413.6,10116.3,10405.5,10407.6,10472.0,10135.0,10355.7,10382.6,10130.5,10352.7,10331.6,10274.6,10216.7,10483.3,10188.8,10291.3,10251.0,10192.8,10379.8,10202.8,10365.5,10448.0,10167.5,10433.5,10415.9,10413.5,10257.0,10147.6,10238.7,10192.4,10229.2,10400.2,10515.9,10343.3,10416.2,10468.2,10410.3,10069.4,10424.5,10365.4,10373.8,10434.9,10235.9,10533.4,10491.3,10348.5,10160.1,10320.8,10271.2,10316.7,10237.5,10352.1,10349.7,10311.2,10372.9,10357.4,10507.1,10216.7,10489.4,10152.4,10213.1
6,12075.0,12268.3,12312.1,12157.6,12253.2,12234.9,12159.3,12193.8,12347.0,12221.4,12056.7,12207.7,12148.5,12260.8,12234.7,11898.0,12053.0,12160.9,12138.0,12087.7,12390.7,11859.6,12289.9,12029.2,12001.4,12141.4,11933.4,12176.0,12326.1,12118.8,12218.8,12191.2,12269.2,12181.6,12058.2,12352.3,12199.1,12132.5,12209.9,12260.3,12209.8,12195.7,12078.2,12293.8,11805.1,12300.4,12313.3,11952.1,12348.5,12006.5,12284.9,12007.1,12267.5,12111.9,11997.5,12067.4,12299.5,12215.8,12252.9,12333.4,12113.6,11846.4,12274.2,12250.7,12283.9,12062.6,12007.2,12110.5,11965.9,12252.3,12014.9,12325.0,12234.5,12266.3,12285.6,12381.8,11817.1,12132.6,12186.8,12161.9,12360.6,12167.4,12306.9,12368.5,12352.2,11981.9,12129.7,12302.7,12252.8,11873.3,12206.7,12171.5,12110.2,12227.2,12000.1,12297.5,12045.7,12258.1,11963.6,11921.7
7,11010.4,11018.2,11098.7,10964.9,11096.7,11088.4,11013.3,11063.2,11266.1,10975.3,10915.1,11047.5,10977.9,11133.0,11148.1,10789.4,10940.6,11022.4,11037.8,11014.8,11224.2,10876.3,11156.7,11072.2,11064.9,11020.1,10901.6,10986.5,11095.9,10994.0,11071.1,11087.0,11204.1,11090.8,11061.0,11149.9,11094.3,11058.1,11035.8,11136.6,10896.7,11113.6,11089.0,11153.4,10882.2,11068.0,11178.6,10752.2,11113.6,11097.5,10958.1,10843.9,11122.7,10784.1,11062.8,11025.7,11026.3,11040.6,11007.9,11092.4,11066.8,10753.7,11204.4,11083.8,11092.0,10876.8,10898.0,10885.4,10983.2,11095.2,11029.5,11252.0,10985.2,11140.5,11326.2,11219.7,10853.9,11007.0,11084.8,11070.0,11164.3,10943.4,11179.2,11207.2,10999.8,10842.1,11003.4,11060.9,11017.1,10797.0,10957.3,11028.2,10954.8,11148.4,11056.0,11231.9,10867.4,11187.9,10938.5,10939.1
8,9540.15,9544.83,9620.36,9545.4,9449.76,9546.97,9562.42,9544.91,9723.29,9411.45,9411.97,9564.9,9476.62,9640.91,9589.54,9492.71,9527.64,9556.4,9591.77,9485.54,9639.19,9411.27,9712.14,9630.9,9490.25,9552.53,9564.57,9554.86,9665.51,9579.08,9582.35,9489.12,9740.14,9565.93,9479.88,9649.12,9590.34,9600.28,9440.67,9676.32,9449.71,9602.08,9634.92,9589.33,9418.21,9643.07,9599.46,9354.65,9588.57,9590.55,9437.44,9487.62,9636.15,9447.14,9579.48,9526.53,9582.49,9635.23,9411.99,9560.53,9609.06,9376.57,9512.04,9600.28,9732.28,9450.46,9426.22,9592.09,9422.56,9537.37,9657.68,9804.55,9616.51,9680.1,9681.43,9705.13,9476.26,9410.12,9579.61,9457.41,9682.26,9364.27,9707.54,9701.89,9555.78,9528.49,9604.92,9540.57,9572.49,9453.24,9560.37,9467.33,9465.65,9671.52,9592.57,9699.39,9510.03,9666.32,9326.57,9455.24
9,9155.49,9150.96,9192.94,9134.66,9090.42,9179.41,9163.34,9033.68,9238.86,9240.73,9073.88,9121.61,9167.12,9285.34,9225.49,9065.57,9136.87,9240.21,9202.05,9122.34,9212.0,9093.78,9278.06,9210.2,9032.85,9138.11,9156.91,9167.04,9208.54,9106.3,9213.39,9119.17,9279.78,9129.11,9126.91,9169.03,9277.34,9099.09,9145.91,9189.77,9123.16,9189.86,9219.79,9207.29,9102.65,9202.47,9194.74,9074.53,9173.65,9133.75,9057.41,9126.26,9208.76,9034.92,9142.67,9141.65,9259.12,9180.82,9089.75,9019.89,9260.48,9003.18,9243.16,9169.24,9292.16,9139.16,9066.9,9142.81,8931.88,9143.11,9214.22,9250.92,9178.6,9216.63,9253.84,9329.48,9112.87,9081.27,9146.83,9089.21,9359.2,9104.67,9185.28,9250.63,9211.2,9135.54,9201.46,9215.64,9129.72,9123.9,9170.3,9132.17,9149.88,9225.46,9160.83,9305.54,9233.68,9309.88,9043.06,9098.0
10,11319.6,11348.7,11388.2,11243.4,11343.3,11109.5,11355.3,11235.8,11471.8,11351.8,11169.0,11211.8,11257.7,11465.1,11355.3,11274.1,11161.1,11234.6,11364.5,11196.9,11573.8,11077.0,11360.2,11236.2,11221.1,11246.9,11205.5,11243.0,11380.8,11314.0,11394.8,11340.9,11436.7,11311.5,11212.5,11459.0,11495.1,11307.3,11329.9,11337.7,11321.6,11420.7,11313.2,11378.1,11216.7,11431.6,11402.0,11093.9,11368.8,11145.3,11297.1,11154.3,11392.8,11279.3,11270.2,11248.8,11395.8,11380.3,11325.5,11525.1,11321.5,11076.3,11425.5,11390.6,11443.6,11248.6,11080.3,11312.3,11264.1,11389.5,11166.7,11512.0,11388.0,11439.6,11442.4,11486.7,10951.2,11240.8,11369.8,11194.2,11441.1,11215.4,11342.5,11560.5,11389.3,11107.4,11291.4,11432.0,11362.4,11066.0,11199.8,11331.8,11296.1,11452.2,11288.2,11538.8,11319.7,11385.8,11211.2,11151.4
11,9892.74,9847.2,9966.27,9837.89,9918.12,9817.11,9809.99,9933.31,9998.35,9833.15,9698.2,9725.19,9788.1,10000.8,9885.89,9698.07,9808.46,9839.01,9935.42,9885.54,9946.02,9627.28,9996.3,9887.77,9667.17,9824.72,9828.46,9744.64,9898.98,9836.75,9877.33,9874.46,10001.4,9911.33,9791.11,9930.11,9906.56,9795.71,9856.23,9934.48,9725.71,9872.27,9857.63,9815.03,9691.9,9916.33,9911.76,9715.62,9994.1,9737.35,9852.53,9663.7,9803.39,9759.62,9894.55,9904.6,9901.4,9797.58,9847.48,9982.81,9840.76,9671.08,9972.18,9959.35,9900.12,9863.19,9720.43,9823.0,9713.33,9882.99,9864.58,9991.04,9907.84,10034.5,10048.7,10032.0,9649.6,9800.48,9812.99,9825.31,9981.72,9728.33,9955.13,10021.0,9972.86,9615.68,9884.07,9774.22,9810.5,9698.53,9864.17,9924.44,9816.22,9917.31,9795.84,9934.48,9805.59,9844.88,9853.34,9763.43
12,9426.59,9447.16,9400.98,9331.64,9306.61,9400.57,9412.73,9444.03,9541.36,9377.82,9277.79,9423.53,9345.99,9475.37,9432.93,9272.64,9491.15,9368.64,9441.31,9277.4,9426.45,9375.7,9553.46,9450.9,9319.66,9314.3,9342.98,9368.34,9455.63,9366.07,9473.85,9401.87,9486.34,9294.59,9394.16,9559.1,9462.69,9448.63,9391.02,9420.09,9406.79,9424.62,9574.99,9319.12,9349.73,9417.08,9396.36,9313.89,9499.08,9324.97,9348.11,9251.01,9405.1,9292.19,9534.35,9428.76,9428.0,9372.78,9398.2,9416.77,9489.53,9159.68,9517.47,9409.1,9599.53,9351.3,9265.81,9349.44,9250.06,9411.51,9491.12,9537.77,9404.49,9487.15,9441.08,9521.32,9237.59,9358.41,9409.01,9389.76,9531.17,9280.78,9498.84,9564.63,9375.89,9284.64,9435.85,9348.63,9434.56,9255.88,9460.02,9212.89,9303.11,9376.33,9454.03,9533.56,9379.69,9496.2,9230.0,9317.76
13,8813.41,8869.76,8946.91,8881.57,8875.42,9013.34,8886.13,8682.6,8933.36,8891.46,8790.24,8871.62,8867.14,8921.15,8941.8,8780.85,8850.88,8919.81,8842.62,8802.19,8977.13,8802.36,9007.45,8912.51,8848.62,8836.99,8908.8,8837.57,8834.37,8856.53,8944.02,8905.52,8978.63,8867.22,8889.25,8967.93,8926.08,8825.68,8832.11,8806.5,8802.2,8901.47,8930.74,8951.53,8839.89,8928.31,8899.24,8783.69,8820.34,8921.17,8674.89,8708.43,8962.1,8750.63,8864.99,8945.73,8902.36,8885.14,8793.65,8815.6,8913.79,8732.72,8942.35,8875.52,8877.16,8829.82,8848.76,8859.54,8771.86,8896.27,8917.89,8986.12,8832.93,8883.21,8992.78,8945.35,8852.71,8906.33,8874.53,8862.29,8918.56,8899.45,8935.53,8924.07,8943.59,8865.88,8951.57,8779.78,8888.68,8823.96,8889.45,8826.08,8862.47,8931.84,8811.77,9012.45,8838.26,8888.76,8685.16,8789.65
14,9921.06,10052.7,10045.5,9990.42,10027.6,9954.6,10048.8,9948.39,10174.8,9984.78,9825.14,9958.82,9990.78,10130.6,10000.7,9918.64,9973.73,9920.5,10032.5,9941.6,10101.0,9845.16,10063.6,9948.13,9931.7,9848.4,9907.9,9921.95,10088.9,9972.83,10084.7,9980.64,10079.6,10085.0,9890.47,10100.4,9994.88,10068.5,9993.68,10010.2,9975.4,9874.71,10096.3,9996.86,9788.97,10038.0,10096.1,9835.76,9963.59,9892.96,9950.09,9884.21,10036.2,9876.88,10005.9,10013.3,10020.4,9921.14,9998.37,10128.9,10005.0,9792.91,10079.6,10090.4,9922.79,9908.62,9891.8,9961.69,9948.38,10096.1,9972.62,10138.6,9889.34,10085.3,10146.6,10146.0,9681.69,9949.92,9927.75,9925.61,10105.9,10075.6,10160.4,10027.7,10007.8,9769.14,9999.11,9996.31,10011.1,9771.44,9948.6,9984.23,9980.05,10082.9,9979.6,10155.6,10100.4,10046.1,9964.06,9725.12
15,9619.6,9637.63,9700.87,9543.74,9543.98,9576.99,9612.03,9618.41,9681.61,9567.41,9517.81,9490.13,9526.59,9623.42,9487.79,9367.04,9446.14,9621.81,9720.71,9438.7,9714.61,9356.74,9688.81,9473.58,9596.64,9500.58,9527.27,9387.4,9642.61,9487.67,9519.66,9511.95,9725.7,9497.91,9401.09,9689.1,9593.24,9653.25,9544.3,9621.19,9469.24,9606.06,9612.88,9598.39,9460.32,9469.17,9665.6,9521.15,9583.89,9554.1,9604.78,9419.18,9574.37,9464.86,9584.74,9391.19,9693.61,9589.93,9584.52,9698.75,9551.73,9413.99,9636.97,9638.9,9671.97,9540.59,9503.13,9470.37,9498.45,9661.44,9616.39,9595.58,9568.26,9571.08,9854.3,9684.07,9254.92,9617.37,9445.3,9461.08,9725.71,9463.8,9646.4,9683.73,9653.22,9295.54,9627.13,9646.73,9536.93,9361.45,9554.14,9501.61,9515.68,9647.39,9546.56,9748.96,9628.87,9641.36,9525.15,9428.89
16,8892.55,8963.69,9006.66,8966.5,8952.24,8965.32,8979.14,8924.87,9075.0,8905.04,8722.43,8923.57,8781.28,8894.85,8975.3,8768.55,8974.03,8913.11,8951.76,8841.58,9025.1,8860.55,9074.64,8964.77,8997.81,8875.49,8981.96,8868.69,8981.6,8918.44,8938.47,8891.42,9024.42,8884.7,8983.48,9127.66,8958.26,8961.95,8840.77,8962.05,8960.55,9007.59,9042.23,9019.15,8806.11,8930.58,8883.79,8887.16,8974.04,8901.28,8955.01,8739.78,8960.52,8922.79,8982.64,8897.9,8943.78,9023.99,8954.78,8937.31,8998.93,8869.91,9046.23,9028.05,9064.95,8990.18,8708.55,9043.35,8815.59,8956.82,9043.45,9100.42,8934.18,8953.81,9021.65,9062.62,8846.31,8837.83,8937.22,8928.99,9125.44,8822.14,8996.15,9011.37,8917.78,8791.91,9035.39,8819.48,8959.36,8888.1,8917.74,8920.78,8899.05,8960.97,8955.0,9038.55,8913.76,9004.0,8878.88,8956.82
17,8723.87,8801.83,8826.86,8758.09,8809.13,8782.15,8801.92,8727.93,8807.59,8806.78,8597.32,8837.78,8703.61,8789.19,8791.73,8708.76,8791.32,8786.16,8805.78,8702.51,8821.1,8729.69,8938.48,8862.75,8750.83,8786.26,8842.19,8786.74,8785.14,8767.28,8796.24,8713.35,8913.38,8663.42,8766.48,8817.2,8754.01,8721.71,8725.98,8729.54,8730.36,8780.63,8870.35,8844.39,8748.02,8847.54,8787.48,8774.2,8828.58,8744.23,8729.47,8642.05,8857.3,8763.3,8761.36,8808.27,8674.1,8612.02,8732.08,8733.71,8813.51,8638.69,8788.32,8809.59,8921.37,8769.26,8689.54,8831.97,8622.31,8765.71,8847.25,8916.76,8656.6,8829.51,8944.64,8862.75,8700.76,8763.32,8709.21,8769.65,8838.85,8785.55,8926.9,8843.45,8792.99,8689.58,8868.6,8746.13,8833.52,8691.92,8814.77,8740.79,8753.75,8720.27,8754.11,8921.03,8844.53,8853.52,8698.35,8771.45
