Unnamed: 0,mmr0,mmr1
0,17838.1,19459.1
1,13912.0,14906.0
2,18997.8,0.0
3,15671.2,17852.7
4,11388.9,12377.6
5,10255.6,11299.3
6,12075.0,13416.0
7,11010.4,11877.3
8,9540.15,0.0
9,9155.49,10118.8
10,11319.6,12388.6
11,9892.74,10539.3
12,9426.59,10243.0
13,8813.41,9488.68
14,9921.06,10588.3
15,9619.6,10077.8
16,8892.55,9453.4
17,8723.87,9227.51
18,9023.9,9417.42
19,8758.55,9144.09
20,8536.36,8849.67
21,8858.07,9168.06
22,8573.39,8805.4
23,8475.87,8715.1
24,8600.7,8825.54
25,8472.75,8662.28
26,8396.69,8532.32
27,8253.82,8502.01
28,8212.18,8546.74
29,8220.72,8407.87
30,8715.47,9087.09
31,8493.28,8781.69
32,8490.92,8756.22
33,8417.22,8773.97
34,8559.25,8822.47
35,8267.2,8576.66
36,8278.69,8626.81
37,8206.4,8585.01
38,8142.04,8575.6
39,8343.01,8720.77
40,8029.01,8322.33
41,7631.27,7787.79
42,8071.93,8539.8
43,7945.39,8574.8
44,7912.71,8264.89
45,7767.92,7975.05
46,7189.84,7363.72
47,6997.63,7091.18
48,7817.75,0.0
49,7608.92,8208.96
50,7361.95,7539.5
51,7173.89,7329.1
52,7358.18,7805.59
53,7237.53,7458.14
54,8063.03,8459.44
55,7865.54,8567.91
56,7929.16,8390.72
57,7814.09,8338.5
58,7687.39,0.0
59,7555.91,8474.44
60,7654.76,8014.88
61,7524.19,8140.58
62,7397.43,7783.88
63,7273.96,7654.58
64,7518.48,7827.18
65,7306.61,7708.14
66,7161.34,7616.5
67,7006.38,7312.18
68,7275.26,7524.94
69,7191.31,7453.85
70,7033.84,7192.2
71,6958.93,7164.74
72,6936.8,7101.19
73,6919.68,7011.96
74,6691.67,6774.04
75,6911.62,7003.94
76,6613.76,6760.25
77,6544.54,6656.13
78,6703.15,6841.32
79,6626.99,6688.59
80,6389.93,6487.74
81,6403.96,6470.98
82,6338.79,6425.4
83,6275.53,6446.19
84,6778.13,6896.81
85,6589.63,6664.71
86,6898.85,7035.89
87,6672.55,6850.37
88,6593.83,6617.35
89,6691.47,6792.62
90,6931.33,7154.35
91,6771.45,6874.67
92,6464.22,6582.59
93,6453.38,6519.37
94,7099.5,7121.87
95,8435.22,8516.26
96,6885.06,6994.95
97,6541.44,6587.04
98,6394.64,6441.9
99,6522.52,6530.42
100,6997.01,6952.47
101,10927.2,10997.2
102,6644.36,6741.66
103,6444.64,6442.86
104,6234.26,6434.28
105,6365.98,6401.19
106,7617.88,7566.3
107,9581.75,9649.55
108,6512.56,6642.97
109,6355.73,6378.51
110,6204.19,6293.27
111,6563.62,6575.33
112,7278.47,7239.63
113,12366.6,12447.9
114,6327.38,6380.59
115,6266.43,6285.43
116,6257.44,6316.96
117,6462.85,6544.53
118,8253.39,8263.67
119,10670.5,10743.8
120,6257.45,6414.6
121,6119.1,6183.86
122,6227.33,6288.65
123,7072.69,7115.08
124,8030.49,8225.23
125,14212.5,14328.1
126,6166.31,6188.5
127,6130.95,6231.07
128,6650.16,6692.31
129,7175.23,7279.12
130,10398.4,10461.4
131,14010.3,14009.4
132,6213.31,6315.23
133,6676.04,6717.95
134,8931.61,9105.01
135,11738.1,11846.2
136,7847.55,7886.26
137,9941.56,10115.6
138,6154.56,6238.87
139,6068.92,6155.94
140,6171.39,6227.15
141,6090.06,6161.23
142,6076.82,6149.03
143,6258.5,6235.38
144,6130.24,6305.18
145,6114.59,6245.79
146,6548.66,6671.17
147,7677.81,7881.75
148,6289.19,6611.22
149,6412.83,6640.2
150,6515.21,6690.25
151,9676.5,9947.95
152,6942.36,7211.31
153,8536.27,8805.23
154,6851.95,7321.48
155,10606.8,11017.7
156,7267.78,7941.74
157,9111.62,9384.3
158,6886.53,7883.54
159,7241.38,0.0
160,11478.6,11991.3
161,8731.36,9540.83
162,11260.6,11685.8
163,10052.2,10667.6
